Intrusives_H2O_wt%                                                                                    
           2
T(K)    
   573.00000000000000     
   3.5256410256410255     
         313
P(bar)  
   500.00000000000000     
   286.85897435897436     
         313
           3
T(K)           P(bar)         H2O,wt%       
  573.000        500.000        1.47804     
  576.526        500.000        1.47804     
  580.051        500.000        1.47804     
  583.577        500.000        1.47804     
  587.103        500.000        1.47804     
  590.628        500.000        1.47804     
  594.154        500.000        1.47804     
  597.679        500.000        1.47804     
  601.205        500.000        1.47804     
  604.731        500.000        1.47804     
  608.256        500.000        1.47804     
  611.782        500.000        1.47804     
  615.308        500.000        1.47804     
  618.833        500.000        1.47804     
  622.359        500.000        1.47804     
  625.885        500.000        1.47804     
  629.410        500.000        1.47804     
  632.936        500.000        1.47804     
  636.462        500.000        1.47804     
  639.987        500.000        1.47804     
  643.513        500.000        1.47804     
  647.038        500.000        1.47804     
  650.564        500.000        1.47804     
  654.090        500.000        1.47804     
  657.615        500.000        1.47804     
  661.141        500.000        1.47804     
  664.667        500.000        1.47759     
  668.192        500.000        1.47754     
  671.718        500.000        1.47749     
  675.244        500.000        1.47743     
  678.769        500.000        1.47736     
  682.295        500.000        1.47728     
  685.821        500.000        1.47720     
  689.346        500.000        1.47727     
  692.872        500.000        1.47702     
  696.397        500.000        1.47711     
  699.923        500.000        1.47680     
  703.449        500.000        1.47698     
  706.974        500.000        1.47698     
  710.500        500.000        1.47698     
  714.026        500.000        1.47620     
  717.551        500.000        1.47651     
  721.077        500.000        1.47651     
  724.603        500.000        1.47651     
  728.128        500.000        1.47529     
  731.654        500.000        1.47664     
  735.179        500.000        1.47664     
  738.705        500.000        1.47664     
  742.231        500.000        1.47375     
  745.756        500.000        1.47519     
  749.282        500.000        1.47519     
  752.808        500.000        1.47519     
  756.333        500.000        1.47519     
  759.859        500.000        1.47519     
  763.385        500.000        1.47519     
  766.910        500.000        1.47519     
  770.436        500.000        1.46315     
  773.962        500.000        1.46315     
  777.487        500.000        1.46315     
  781.013        500.000        1.46315     
  784.538        500.000        1.46315     
  788.064        500.000        1.37844     
  791.590        500.000        1.37844     
  795.115        500.000        1.37844     
  798.641        500.000        1.37844     
  802.167        500.000        1.45050     
  805.692        500.000        1.45050     
  809.218        500.000        1.45050     
  812.744        500.000        1.27990     
  816.269        500.000        1.26550     
  819.795        500.000        1.26538     
  823.321        500.000        1.26363     
  826.846        500.000        1.26306     
  830.372        500.000        1.26301     
  833.897        500.000        1.26280     
  837.423        500.000        1.26236     
  840.949        500.000        1.26191     
  844.474        500.000        1.26022     
  848.000        500.000        1.25965     
  851.526        500.000        1.25908     
  855.051        500.000        1.25982     
  858.577        500.000        1.25765     
  862.103        500.000        1.25705     
  865.628        500.000        1.25703     
  869.154        500.000        1.25585     
  872.679        500.000        1.25574     
  876.205        500.000        1.25510     
  879.731        500.000        1.25406     
  883.256        500.000        1.25395     
  886.782        500.000        1.25241     
  890.308        500.000        1.25253     
  893.833        500.000        1.25198     
  897.359        500.000        1.25132     
  900.885        500.000        1.25076     
  904.410        500.000        1.25006     
  907.936        500.000        1.24937     
  911.462        500.000        1.24867     
  914.987        500.000        1.24784     
  918.513        500.000        1.24700     
  922.038        500.000        1.24617     
  925.564        500.000        1.24534     
  929.090        500.000        1.24451     
  932.615        500.000        1.24367     
  936.141        500.000        1.24284     
  939.667        500.000        1.24201     
  943.192        500.000        1.24201     
  946.718        500.000        1.24201     
  950.244        500.000        1.24245     
  953.769        500.000        1.23951     
  957.295        500.000        1.23951     
  960.821        500.000        1.23914     
  964.346        500.000        1.23895     
  967.872        500.000        1.23895     
  971.397        500.000       0.735678     
  974.923        500.000       0.735342     
  978.449        500.000       0.735005     
  981.974        500.000       0.733840     
  985.500        500.000       0.733504     
  989.026        500.000       0.733169     
  992.551        500.000       0.732763     
  996.077        500.000       0.732499     
  999.603        500.000       0.731335     
  1003.13        500.000       0.731306     
  1006.65        500.000       0.730820     
  1010.18        500.000       0.730334     
  1013.71        500.000       0.729752     
  1017.23        500.000       0.729170     
  1020.76        500.000       0.664274     
  1024.28        500.000       0.464407     
  1027.81        500.000       0.253541     
  1031.33        500.000        0.00000     
  1034.86        500.000        0.00000     
  1038.38        500.000        0.00000     
  1041.91        500.000        0.00000     
  1045.44        500.000        0.00000     
  1048.96        500.000        0.00000     
  1052.49        500.000        0.00000     
  1056.01        500.000        0.00000     
  1059.54        500.000        0.00000     
  1063.06        500.000        0.00000     
  1066.59        500.000        0.00000     
  1070.12        500.000        0.00000     
  1073.64        500.000        0.00000     
  1077.17        500.000        0.00000     
  1080.69        500.000        0.00000     
  1084.22        500.000        0.00000     
  1087.74        500.000        0.00000     
  1091.27        500.000        0.00000     
