LOSIMAG_H2O_wt                                                                                       
           2
T(K)    
   573.00000000000000     
   3.5256410256410255     
         313
P(bar)  
   500.00000000000000     
   286.85897435897436     
         313
           3
T(K)           P(bar)         H2O,wt%       
  573.000        500.000        1.98169     
  576.526        500.000        1.98169     
  580.051        500.000        1.98169     
  583.577        500.000        1.98169     
  587.103        500.000        1.98169     
  590.628        500.000        1.98169     
  594.154        500.000        1.98169     
  597.679        500.000        1.98169     
  601.205        500.000        1.98169     
  604.731        500.000        1.98169     
  608.256        500.000        1.98169     
  611.782        500.000        1.98169     
  615.308        500.000        1.98169     
  618.833        500.000        1.98169     
  622.359        500.000        1.98169     
  625.885        500.000        1.98169     
  629.410        500.000        1.98169     
  632.936        500.000        1.98169     
  636.462        500.000        1.98169     
  639.987        500.000        1.98169     
  643.513        500.000        1.98169     
  647.038        500.000        1.98169     
  650.564        500.000        1.98169     
  654.090        500.000        1.98169     
  657.615        500.000        1.98169     
  661.141        500.000        1.98169     
  664.667        500.000        1.98169     
  668.192        500.000        1.98169     
  671.718        500.000        1.98169     
  675.244        500.000        1.98169     
  678.769        500.000        1.98169     
  682.295        500.000        1.98169     
  685.821        500.000        1.98169     
  689.346        500.000        1.98169     
  692.872        500.000        1.98169     
  696.397        500.000        1.98169     
  699.923        500.000        1.98169     
  703.449        500.000        1.98169     
  706.974        500.000        1.98169     
  710.500        500.000        1.98169     
  714.026        500.000        1.98169     
  717.551        500.000        1.98169     
  721.077        500.000        1.98169     
  724.603        500.000        1.98169     
  728.128        500.000        1.98169     
  731.654        500.000        1.98158     
  735.179        500.000        1.98156     
  738.705        500.000        1.98154     
  742.231        500.000        1.98152     
  745.756        500.000        1.98149     
  749.282        500.000        1.98146     
  752.808        500.000        1.98143     
  756.333        500.000        1.98140     
  759.859        500.000        1.98136     
  763.385        500.000        1.98132     
  766.910        500.000        1.98128     
  770.436        500.000        1.98123     
  773.962        500.000        1.98119     
  777.487        500.000        1.98113     
  781.013        500.000        1.98108     
  784.538        500.000        1.98101     
  788.064        500.000        1.98094     
  791.590        500.000        1.98087     
  795.115        500.000        1.98078     
  798.641        500.000        1.98069     
  802.167        500.000        1.98059     
  805.692        500.000        1.98047     
  809.218        500.000        1.98034     
  812.744        500.000        1.98020     
  816.269        500.000        1.98003     
  819.795        500.000        1.97984     
  823.321        500.000        1.97962     
  826.846        500.000        1.97937     
  830.372        500.000        1.97908     
  833.897        500.000        1.97872     
  837.423        500.000        1.97830     
  840.949        500.000        1.97778     
  844.474        500.000        1.97715     
  848.000        500.000        1.97638     
  851.526        500.000        1.97536     
  855.051        500.000        1.97396     
  858.577        500.000        1.97206     
  862.103        500.000        1.96932     
  865.628        500.000        1.69810     
  869.154        500.000        1.95758     
  872.679        500.000        1.94264     
  876.205        500.000        1.89598     
  879.731        500.000        1.47433     
  883.256        500.000       0.765252     
  886.782        500.000       0.389055     
  890.308        500.000       0.376556     
  893.833        500.000       0.358803     
  897.359        500.000       0.350555     
  900.885        500.000       0.352396     
  904.410        500.000       0.364448     
  907.936        500.000       0.374842     
  911.462        500.000       0.368740     
  914.987        500.000       0.367132     
  918.513        500.000       0.365318     
  922.038        500.000       0.386381     
  925.564        500.000       0.358049     
  929.090        500.000       0.381295     
  932.615        500.000       0.354055     
  936.141        500.000       0.399918     
  939.667        500.000       0.351587     
  943.192        500.000       0.386752     
  946.718        500.000       0.386752     
  950.244        500.000       0.386752     
  953.769        500.000       0.344132     
  957.295        500.000       0.416842     
  960.821        500.000       0.416842     
  964.346        500.000       0.416842     
  967.872        500.000       0.332373     
  971.397        500.000       0.370961     
  974.923        500.000       0.273613     
  978.449        500.000       0.281170     
  981.974        500.000       0.278384     
  985.500        500.000       0.274295     
  989.026        500.000       0.272370     
  992.551        500.000       0.271248     
  996.077        500.000       0.267310     
  999.603        500.000       0.271067     
  1003.13        500.000       0.227764     
  1006.65        500.000       0.222030     
  1010.18        500.000       0.270340     
  1013.71        500.000       0.210560     
  1017.23        500.000       0.261491     
  1020.76        500.000       0.199087     
  1024.28        500.000       0.261152     
  1027.81        500.000       0.261152     
  1031.33        500.000       0.181873     
  1034.86        500.000       0.179303     
  1038.38        500.000       0.173646     
  1041.91        500.000       0.167480     
  1045.44        500.000       0.161325     
  1048.96        500.000       0.154640     
  1052.49        500.000       0.147427     
  1056.01        500.000       0.147427     
  1059.54        500.000       0.147427     
  1063.06        500.000       0.217765     
  1066.59        500.000       0.123379E-002
  1070.12        500.000       0.543712E-003
  1073.64        500.000        0.00000     
  1077.17        500.000        0.00000     
  1080.69        500.000        0.00000     
  1084.22        500.000        0.00000     
  1087.74        500.000        0.00000     
  1091.27        500.000        0.00000     
  1094.79        500.000        0.00000     
  1098.32        500.000        0.00000     
  1101.85        500.000        0.00000     
  1105.37        500.000        0.00000     
  1108.90        500.000        0.00000     
  1112.42        500.000        0.00000     
  1115.95        500.000        0.00000     
  1119.47        500.000        0.00000     
  1123.00        500.000        0.00000     
  1126.53        500.000        0.00000     
  1130.05        500.000        0.00000     
  1133.58        500.000        0.00000     
  1137.10        500.000        0.00000     
  1140.63        500.000        0.00000     
  1144.15        500.000        0.00000     
  1147.68        500.000        0.00000     
  1151.21        500.000        0.00000     
  1154.73        500.000        0.00000     
  1158.26        500.000        0.00000     
  1161.78        500.000        0.00000     
  1165.31        500.000        0.00000     
  1168.83        500.000        0.00000     
  1172.36        500.000        0.00000     
  1175.88        500.000        0.00000     
